"Title","Type","Hidden","Image","Image Alt Text","Description","Category","Website","Web name","Package #1","Package #2","Package #3","Package #4","Package #5","DE #1","DE #2","DE #3","DE #4","DE #5","DE #6","DE #7","DE #8","All Environments","Rating","Featured","SudoWiki page link","Recommended DE #1","Recommended DE #2","Recommended DE #3","Latest LTS Release","Parent distro","Dependencies","ID","Created Date","Updated Date","Owner"
"Ubuntu Studio","[""Desktop""]",,"wix:image://v1/55a0c3_ae3df508b3874c6092a4af1ddbf51a1e~mv2.png/Ubuntu%20Studio.png#originWidth=512&originHeight=512","Ubuntu Studio","Ubuntu Studio is tailored for creative professionals, featuring an extensive suite of open-source tools for audio, video, graphics, and publishing. It brings production-ready software preinstalled on a reliable Ubuntu base.","[""Suitable for beginners""]","https://ubuntustudio.org/","ubuntustudio.org","224dd334-8f18-4bd9-86b9-e10fbd422a42","bab9c390-5af3-4d0b-88b1-e824569b66a6",,,,"2c99fb89-58d2-49dd-9d96-9af2528a428c",,,,,,,,"[""Plasma""]",,,,,,,,"Ubuntu","59c78b66-3bfe-4020-a73e-e16b1865d338","0318b52e-80e2-4922-8cbe-7b3251918d58",2025-08-30T19:48:00Z,2025-09-06T19:40:43Z,"55a0c358-6ca6-478d-aef6-9c25314befef"
"Bazzite","[""Console""]",,"wix:image://v1/55a0c3_2f4d46323a2c4bc28e23b47587820b7a~mv2.png/Bazzite.png#originWidth=512&originHeight=512","Bazzite","Bazzite is a Fedora-based Linux distribution designed for gaming and home theater PCs. It provides an out-of-the-box experience with Steam, Lutris, and emulators, while keeping the system updated through atomic, image-based package management.","[""Suitable for beginners""]","https://bazzite.gg/","bazzite.gg","4ddb13bf-6614-4645-b061-ae36aaee9a24","e1f533c1-fe5e-42f5-8715-f4294c9e741b","e2ece614-9da0-4e54-9568-a895540c8853",,,"f7c60044-a850-499f-bd97-dd1e17e8562f","2c99fb89-58d2-49dd-9d96-9af2528a428c","1d2a0c12-15cd-451a-84ca-29cb8d611a28",,,,,,"[""SteamBP"",""Plasma"",""GNOME""]",,,,,,,,"Fedora","59c78b66-3bfe-4020-a73e-e16b1865d338","0c2ae6d7-6c1c-4b9c-95ac-cfceb8ae3ea0",2025-09-05T22:27:49Z,2025-09-13T18:29:04Z,"55a0c358-6ca6-478d-aef6-9c25314befef"
"SUSE Linux Enterprise","[""Desktop""]",,"wix:image://v1/55a0c3_e9caf47a269046508cd115c347276fe6~mv2.png/openSUSE.png#originWidth=512&originHeight=512","SUSE Linux Enterprise (SLE)","SUSE Linux Enterprise is a commercial distribution designed for businesses and mission-critical environments. Built on reliability, security and long-term support, it is widely used in enterprise servers, cloud and embedded systems.","[""Only for the proficient""]","https://www.suse.com/products/server/","suse.com","4ddb13bf-6614-4645-b061-ae36aaee9a24","0cca6e09-ca71-46bc-ae8d-c5018f7cb98d",,,,"1d2a0c12-15cd-451a-84ca-29cb8d611a28",,,,,,,,"[""GNOME""]",,,,,,,,"SUSE Linux","ebd20fae-c023-42bb-abd6-35e173b80e25","0ef9b5f4-d45b-4071-a718-85db3a9b28c9",2025-08-31T16:27:39Z,2025-09-06T19:40:43Z,"55a0c358-6ca6-478d-aef6-9c25314befef"
"Edubuntu","[""Desktop""]",,"wix:image://v1/55a0c3_a1d5375a0f52453fa812132d1ff2707a~mv2.png/Edubuntu.png#originWidth=512&originHeight=512","Edubuntu","Edubuntu is an official Ubuntu flavor tailored for education, providing teachers and students with a ready-to-use system that includes classroom management tools, educational apps, and a stable environment built on Ubuntu.","[""Suitable for beginners""]","https://edubuntu.org","edubuntu.org","224dd334-8f18-4bd9-86b9-e10fbd422a42","bab9c390-5af3-4d0b-88b1-e824569b66a6",,,,"1d2a0c12-15cd-451a-84ca-29cb8d611a28",,,,,,,,"[""GNOME""]",,,,,,,,"Ubuntu","59c78b66-3bfe-4020-a73e-e16b1865d338","18cfb051-3375-4f1f-a5cf-632a7313aa17",2025-08-30T16:42:48Z,2025-09-06T19:40:43Z,"55a0c358-6ca6-478d-aef6-9c25314befef"
"Kali Linux","[""Desktop""]",,"wix:image://v1/55a0c3_7b302f4b0ecb4666b8d393f36a2d86ed~mv2.png/Kali%20Linux.png#originWidth=512&originHeight=512","Kali Linux","Kali Linux is a Debian-based distribution tailored for security testing and digital forensics. Preloaded with hundreds of professional tools, it empowers ethical hackers and researchers to audit systems, networks, and applications.","[""Only for the proficient""]","https://www.kali.org/","kali.org","bab9c390-5af3-4d0b-88b1-e824569b66a6",,,,,"2bf1bc07-cfc3-4ec9-a7a7-d30ce26ae57f","1d2a0c12-15cd-451a-84ca-29cb8d611a28","2c99fb89-58d2-49dd-9d96-9af2528a428c",,,,,,"[""XFce"",""GNOME"",""Plasma""]",,,,,,,,"Debian","59c78b66-3bfe-4020-a73e-e16b1865d338","2b12ea12-d50f-4519-a9eb-3a60185df079",2025-09-18T19:22:44Z,2025-09-18T20:09:16Z,"55a0c358-6ca6-478d-aef6-9c25314befef"
"Red Hat Linux","[""Desktop""]",,"wix:image://v1/55a0c3_d2bbbbd623df4e6985cbb6eea469c4b2~mv2.png/Red%20Hat%20Linux.png#originWidth=512&originHeight=512","Red Hat Linux","Red Hat Linux, launched in 1994, was among the first major distributions to reach mainstream adoption. It introduced the RPM package format (.rpm) and laid the groundwork for Fedora, CentOS Stream, and Red Hat Enterprise Linux.","[""Discontinued""]","https://www.redhat.com/en","redhat.com","4ddb13bf-6614-4645-b061-ae36aaee9a24",,,,,"1d2a0c12-15cd-451a-84ca-29cb8d611a28",,,,,,,,"[""GNOME""]",,,,,,,,,"aaee73fb-3d25-40b7-ae9c-a632539c4252","2c483a1e-fe6c-4471-a23f-a485372081cb",2025-09-05T21:20:42Z,2025-09-06T19:40:43Z,"55a0c358-6ca6-478d-aef6-9c25314befef"
"Fedora","[""Desktop""]",,"wix:image://v1/55a0c3_bdb5dacb00054b5b807ef972eebc4f0c~mv2.png/Fedora.png#originWidth=512&originHeight=512","Fedora","Fedora is a cutting-edge Linux distribution that showcases the latest open-source technologies while staying stable and reliable. It integrates Flatpak for easy app installation, and is a great choice for users who enjoy having up-to-date software.","[""Suitable for beginners""]","https://www.fedoraproject.org/","fedoraproject.org","e1f533c1-fe5e-42f5-8715-f4294c9e741b","4ddb13bf-6614-4645-b061-ae36aaee9a24",,,,"1d2a0c12-15cd-451a-84ca-29cb8d611a28","2c99fb89-58d2-49dd-9d96-9af2528a428c",,,,,,,"[""GNOME"",""Plasma""]",,"[""Beginner-friendly""]","https://www.sudostation.org/how-do-i-install-fedora","1d2a0c12-15cd-451a-84ca-29cb8d611a28",,,"(Fedora 42)","Red Hat Linux","ebd20fae-c023-42bb-abd6-35e173b80e25","2f766f3f-4e08-43ec-b980-2135da2cf46c",2025-08-29T17:38:21Z,2025-09-07T11:12:53Z,"55a0c358-6ca6-478d-aef6-9c25314befef"
"Ubuntu Cinnamon","[""Desktop""]",,"wix:image://v1/55a0c3_065b6e54181f466d93591c3b5cdc3ff5~mv2.png/Ubuntu%20Cinnamon.png#originWidth=512&originHeight=512","Ubuntu Cinnamon","Ubuntu Cinnamon blends Ubuntu’s reliability with the Cinnamon desktop, offering a traditional Windows-like layout with modern touches. It aims for familiarity, simplicity, and ease of use while retaining access to Ubuntu’s large software ecosystem.","[""Suitable for beginners""]","https://ubuntucinnamon.org/","ubuntucinnamon.org","224dd334-8f18-4bd9-86b9-e10fbd422a42","bab9c390-5af3-4d0b-88b1-e824569b66a6",,,,"ce5781a2-c8fd-4ef1-ad04-9705973c79e9",,,,,,,,"[""Cinnamon""]",,,,,,,,"Ubuntu","59c78b66-3bfe-4020-a73e-e16b1865d338","331bbca3-f291-48b6-b62d-3f4b93ff99a9",2025-08-31T08:35:56Z,2025-09-06T19:40:43Z,"55a0c358-6ca6-478d-aef6-9c25314befef"
"postmarketOS","[""Mobile""]",,"wix:image://v1/55a0c3_f90c4276e80c47be9838d74bb98a42b4~mv2.png/postmarketOS.png#originWidth=512&originHeight=512","postmarketOS","postmarketOS is a touch-optimized, Alpine Linux–based mobile OS aiming for a 10-year lifecycle on smartphones. It supports multiple user interfaces like Phosh, Plasma Mobile, and SXMO, bringing true Linux flexibility to handheld devices.",,"https://postmarketos.org/","postmarketos.org","f0e95616-923d-4338-9887-e33d83ca6c87",,,,,,,,,,,,,,,,,,,,,"Alpine Linux","59c78b66-3bfe-4020-a73e-e16b1865d338","33623e9c-e5f9-431d-8b4e-33cdc9968c6a",2025-09-18T18:50:03Z,2025-09-18T19:01:33Z,"55a0c358-6ca6-478d-aef6-9c25314befef"
"Arch Linux","[""Desktop""]",,"wix:image://v1/55a0c3_8d033d2a2f9b4d0c9ba7cefcbfa4cab5~mv2.png/Arch.png#originWidth=512&originHeight=512","Arch Linux","Arch Linux – A minimalist and flexible distribution that follows a rolling release model. It gives users the latest software, complete control over their system, and a deeper understanding of Linux, but requires more setup than beginner-focused distros.","[""Only for the proficient""]","https://archlinux.org/","archlinux.org","d9a58a4f-05e7-482f-8184-35beaaad8523","1f92d2bc-a03c-407c-bebf-d9287920dd0e","5d04b84c-2e0e-4349-82d0-31db1e3571eb",,,,,,,,,,,,,,,,,,,,"aaee73fb-3d25-40b7-ae9c-a632539c4252","3f44918d-f108-43c5-aacd-2d5f4ef0549f",2025-08-30T00:32:38Z,2025-09-06T19:40:43Z,"55a0c358-6ca6-478d-aef6-9c25314befef"
